Entity
.22 LR
.300 Win Mag
.308 Win
.338 Lapua
.357 Magnum
.40 S&W
.410 GA
.44 Magnum
.45 ACP
.460 Steyr
.50 BMG
12.7×108mm
12号
20×110mm
5.45×18mm
5.45×39 PSP
5.45×39mm
5.56×45mm
5.7×28mm
50HS狙击步枪
6.5mm
6.8mm
7.62×25mm
7.62×33mm
7.62×39mm
7.62×51mm
7.62×54R
7.92×57mm
7N6
93R 冲锋手枪
9A-91小型突击步枪
9×18mm PM
9×18mm PMM
9×19mm
9×21mm
9×39mm
A-91M突击步枪
ADS两栖用步枪
AEK P1PV 冲锋枪
AEK-971突击步枪
AK-47/AKS-47突击步枪
AKM 突击步枪
AKM、AKS突击步枪
AMP技术服务公司
AMSD OM50 Neimesis狙击步枪
AN94突击步枪
APS水下突击步枪
AR-15 狙击步枪
ARX-160突击步枪
ASM-DT两栖突击步枪
AUG突击步枪
Armsel公司
Ashbury ASW338 狙击步枪
BA 50 狙击步枪
BARRETT M82A1 狙击步枪
BREN TEN手枪
Blaser LRS2 狙击步枪
B＆T MP9冲锋枪
CHEYTAC 狙击步枪
CIA
CORNER SHOT拐角射击系统
CZ 750 S1 M1狙击步枪
CZ 75系列手枪
CZ 805 BREN突击步枪
Cobra GEK
Corner Shot Holdings
C×4 Storm卡宾枪
DSR 狙击步枪
DTA SRS 狙击步枪
EDM武器公司
FALCON 狙击步枪
FAMAS突击步枪
FBI
FG-42伞兵步枪
FIVE-SEVEN 57式手枪
FN-P手枪
FNC突击步枪
FP-6 泵动散弹枪
FR-F2 狙击步枪
Forty-nine手枪
G36突击步枪
G3自动步枪
GEO
GIGN
GIPN
GLOCK系列手枪
GSG9
Goblin折叠冲锋枪
HEZI TM SM-1卡宾枪
HK P7M8手枪
HK USP手枪
HK416 突击步枪
HK416/HKM4突击步枪
JACKHAMMER自动散弹枪
KBP仪器设计局
KRISS Supper V冲锋枪
KSK
L85型突击步枪
M14/M21狙击步枪
M16突击步枪
M193
M1系列散弹枪
M3散弹枪
M4 SUPER90战斗散弹枪
M4卡宾枪
M855
M96 狙击步枪
MAG-7散弹枪
MARTIN TUMA ENGINEERING
MEK
MGTS
MIG-5
MK23 MOD 0特种作战手枪
MP-448 Skyph手枪
MP5 冲锋枪
MP7 冲锋枪
MSMC 冲锋枪
Magal卡宾枪
Martial紧凑型散弹枪
M、S系列手枪
NOVA散弹枪
NTW-20 反器材步枪
Neostead散弹枪
OC-11紫杉树突击步枪
OC-14Groza突击步枪
P11水下手枪
P90 冲锋枪
P99 半自动手枪
PEIRFER公司
PGM精密武器公司
PIERFER ZELISKA左轮手枪
PM MAKAROV手枪
PM12S冲锋枪
PM98/PM06 冲锋枪
PP-19 野牛冲锋枪
PRA国际防护产品公司
PRG-1 狙击步枪
PSM手枪
P×4 Storm风暴手枪
RAID
RANGE MASTER狙击步枪
REMINGTON MSR 狙击步枪
RH-Alan公司
RMB-93泵动散弹枪
RT-20 反器材步枪
Remington ACR突击步枪
R×4 Storm突击步枪
S&W 465v 左轮手枪
S.A.T 8半自动散弹枪
SAIGA-20半自动散弹枪
SAIGA-410半自动散弹枪
SAS
SDASS泵动散弹枪
SEK
SG 55X系列突击步枪
SHIPKA 冲锋枪
SIG SAUER P220系列手枪
SIG SAUER P226手枪
SP-5
SP-6
SPAS-12多功能散弹枪
SPAS-15多功能散弹枪
SPP-1水下手枪
SR-100 狙击步枪
SR-2冲锋枪
SR-3VIKHR小型突击步枪
SS109
SSG69狙击步枪
SV-98 狙击步枪
SV-99 狙击步枪
SVD 狙击步枪
SVDS 狙击步枪
Scar突击步枪
Styeler ACR先进突击步枪
TAC 50狙击步枪
TIKKA T3 狙击步枪
TRUVELO 狙击步枪
TUMA MTE-224手枪
Taurus左轮手枪系列
Tavor突击步枪
ULTIMA RATIO 狙击步枪
UMP9 冲锋枪
USAS-12自动散弹枪
USSOCOM
UZI 微型冲锋枪
VOG-25
Valmet M82突击步枪
Vepr野猪突击步枪
WIST-94半自动手枪
Yarugin PYA 手枪
zVI公司
三角洲突击队
两脚架
中国
中央精密机械研究所
丹麦
乌克兰
以色列
伊孜玛什公司
伊热夫斯克机械厂
伯奈利公司
伯莱塔系列手枪
俄罗斯
俄罗斯联邦安全局
保加利亚
保险装置
先进战斗系统公司
克罗地亚
全自动
公牛公司
军备部的军事技术协会
准星
击针
制退器
刺刀
前苏联
加拿大
勃朗宁BDM手枪
勃朗宁大威力HP手枪
勃朗宁轻武器公司
勃朗宁闭锁
包络式枪机
匈牙利
北约
半自动
单动击发
南非
卡尔·瓦尔特公司
卢萨 A2 冲锋枪
印度
双动击发
史密斯·威森公司
吉尔伯特设备有限公司
吹气式
国家军品工业公司
国营赫斯塔尔公司
图拉兵工厂
土耳其
埃及
埃尔玛公司
埃罗泰柯公司
塞尔维亚
复进簧
多诺斯＆迪克逊企业公司
大宇精密工业公司
套筒
奥伯杜瓦特公司
奥地利
导气式
导气箍
岩岛兵工厂
巴西
布莱瑟尔公司
希腊
平衡动作原理
幽灵 冲锋枪
开膛待击
弗兰齐公司
弹匣
德国
德德拉拉贡贡诺诺夫夫狙狙击击步步枪枪
快慢机
恩菲尔德皇家兵工厂
惯性后坐
意大利
戴维斯原理
打击者 散弹枪
扳机
抛壳口
护木
拉机柄
挪威
捷克
握把
斯太尔·曼利夏公司
斯托戈公司
斯捷奇金APS手枪
新西兰
旋转后拉式枪机
无托结构
日本
机匣
枪托
枪管
枪管偏移式
枪管短后坐
柯尔特公司
格洛克有限公司
榴弹发射器
模块化设计
比利时
沙漠之鹰手枪
沙漠战术轻武器公司
法国
波兰
活塞
浮置式枪管
海豹突击队
消声器
消焰器
滚柱闭锁
潘科公司
澳大利亚
点射
照门
特维洛公司
瑞典
瑞士
瓦尔特MPK冲锋枪
瞄准具
短行程活塞
科若库基础机械设计局
突尼斯
缓冲垫
罗马尼亚
美军
美国
美蓓亚M8 冲锋枪
联合国
膛线
自由后坐式
芬兰
苏格兰场
英国
荷兰
萨科-瓦尔梅特公司
葡萄牙
蝎式 冲锋枪
蟒蛇左轮手枪
西格公司
西班牙
贴腮板
费巴尔姆公司
赛茨公司
赫克勒-科赫公司
长行程活塞
闭膛待击
雷明顿公司
韩国
马努汉 左轮手枪
马努汉公司
