Subject,Predicate,Object
卢萨 A2 冲锋枪,枪管长,200 mm
卢萨 A2 冲锋枪,理论射速,50 R/min
卢萨 A2 冲锋枪,理论射速,900R/min
卢萨 A2 冲锋枪,瞄准基线长,285 mm
卢萨 A2 冲锋枪,空枪重,2.5 kg
卢萨 A2 冲锋枪,空枪重,2.98 kg
卢萨 A2 冲锋枪,缠距,250 mm
卢萨 A2 冲锋枪,膛线,6条、右旋
幽灵 冲锋枪,制造商,赛茨公司
打击者 散弹枪,制造商,Armsel公司
打击者 散弹枪,制造商,柯尔特公司
打击者 散弹枪,国家,南非
打击者 散弹枪,国家,美国
打击者 散弹枪,弹匣容量,12 rds
打击者 散弹枪,枪管长,305 mm
打击者 散弹枪,空枪重,4.2 kg
沙漠之鹰手枪,制造商,KBP仪器设计局
沙漠之鹰手枪,制造商,科若库基础机械设计局
沙漠之鹰手枪,国家,俄罗斯
沙漠之鹰手枪,国家,美国
沙漠之鹰手枪,射速,900 R/min
沙漠之鹰手枪,弹匣容量,20 / 30 rds
沙漠之鹰手枪,弹匣容量,9 rds 8 rds 7 rds
沙漠之鹰手枪,有效射程,100 m
沙漠之鹰手枪,枪管长,152 mm 102 mm 117 mm
沙漠之鹰手枪,枪管长,167 mm
沙漠之鹰手枪,瞄准基线长,215 mm 215 mm 210 mm
沙漠之鹰手枪,缠距,355 mm 457 mm 483 mm
蝎式 冲锋枪,初速,317 m/s
蝎式 冲锋枪,制造商,潘科公司
蝎式 冲锋枪,口径,32 ACP
蝎式 冲锋枪,国家,捷克
蝎式 冲锋枪,国家,美国
蝎式 冲锋枪,弹匣容量,10、20 rds
蝎式 冲锋枪,枪管长,115 mm
蝎式 冲锋枪,膛线,6条，右旋，147mm
蟒蛇左轮手枪,全枪长,202mm 240mm 291mm341mm
蟒蛇左轮手枪,制造商,柯尔特公司
蟒蛇左轮手枪,枪管长,64mm 102mm 153mm 203mm
蟒蛇左轮手枪,空枪重,1kg 1.1kg 1.3kg 1.5kg
马努汉 左轮手枪,全枪重,1080g
马努汉 左轮手枪,全枪长,300mm
马努汉 左轮手枪,制造商,马努汉公司
马努汉 左轮手枪,口径,.40 S&W
马努汉 左轮手枪,国家,法国
马努汉 左轮手枪,子弹规格,8mm
马努汉 左轮手枪,枪管长,152mm
