               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.070022,             0.20884,            0.040544,             0.41297,             0.28295,             0.27103,               0.131,            0.066404,              0.1589,            0.032676,           0.0097011,           0.0097011,           0.0097011
                  37,            0.070043,             0.20978,            0.040486,             0.43521,             0.28339,             0.27262,             0.13152,            0.066354,             0.15868,            0.032594,            0.009684,            0.009684,            0.009684
                  38,            0.069983,              0.2093,            0.040504,             0.46431,             0.26949,             0.27371,             0.13251,            0.066344,             0.15879,            0.032485,           0.0096664,           0.0096664,           0.0096664
                  39,            0.069987,             0.20941,             0.04045,             0.44214,              0.2829,             0.27493,             0.13345,            0.066301,             0.15854,            0.032466,           0.0096484,           0.0096484,           0.0096484
                  40,            0.069976,             0.20957,            0.040349,             0.41866,             0.29588,             0.27384,             0.13241,            0.066218,             0.15859,            0.032378,           0.0096299,           0.0096299,           0.0096299
                  41,             0.06999,             0.20926,            0.040425,             0.44429,             0.28793,             0.27836,             0.13555,            0.066193,             0.15848,             0.03232,            0.009611,            0.009611,            0.009611
                  42,            0.069884,             0.20907,            0.040313,             0.42447,              0.2928,             0.27632,             0.13356,            0.066198,             0.15853,            0.032383,           0.0095916,           0.0095916,           0.0095916
                  43,            0.069841,             0.20916,            0.040237,              0.4402,             0.28484,             0.27673,             0.13464,            0.066138,             0.15863,             0.03227,           0.0095717,           0.0095717,           0.0095717
                  44,            0.069845,             0.20863,            0.040304,             0.47725,             0.27292,             0.27873,             0.13615,            0.066116,             0.15842,            0.032199,           0.0095514,           0.0095514,           0.0095514
                  45,            0.069784,             0.20825,            0.040247,             0.40277,             0.30319,             0.27823,             0.13549,            0.066148,             0.15861,            0.032243,           0.0095307,           0.0095307,           0.0095307
                  46,            0.069823,             0.20921,            0.040181,             0.42618,             0.29527,             0.27887,             0.13593,            0.066108,             0.15859,            0.032122,           0.0095095,           0.0095095,           0.0095095
                  47,            0.069875,             0.20891,            0.040098,             0.41569,             0.29536,             0.27802,             0.13539,            0.066074,             0.15855,             0.03221,           0.0094879,           0.0094879,           0.0094879
                  48,            0.069893,             0.20931,            0.040089,             0.45275,             0.28181,             0.28058,             0.13569,            0.066124,             0.15841,            0.032124,           0.0094659,           0.0094659,           0.0094659
                  49,            0.069819,              0.2091,            0.040172,             0.43576,             0.29538,             0.28096,              0.1372,            0.065987,             0.15839,            0.032027,           0.0094434,           0.0094434,           0.0094434
                  50,             0.06978,             0.20916,            0.040044,             0.46767,             0.28173,             0.28309,             0.13677,            0.066005,             0.15843,             0.03194,           0.0094205,           0.0094205,           0.0094205
                  51,            0.069768,             0.20858,            0.040039,             0.44299,              0.2908,             0.28133,             0.13719,            0.066017,             0.15845,            0.031907,           0.0093971,           0.0093971,           0.0093971
                  52,             0.06971,             0.20858,             0.04006,              0.4352,             0.29905,             0.28412,             0.13702,            0.065993,             0.15834,            0.031944,           0.0093733,           0.0093733,           0.0093733
                  53,            0.069716,             0.20814,            0.039959,             0.43958,             0.29528,             0.28126,             0.13639,            0.066008,             0.15834,             0.03189,           0.0093491,           0.0093491,           0.0093491
                  54,             0.06968,             0.20862,            0.039945,             0.45922,             0.28168,             0.28144,             0.13798,             0.06591,             0.15836,             0.03186,           0.0093245,           0.0093245,           0.0093245
                  55,            0.069723,              0.2086,            0.039936,             0.47578,             0.28625,             0.28449,             0.13822,            0.065994,             0.15849,            0.031764,           0.0092995,           0.0092995,           0.0092995
                  56,            0.069706,             0.20829,            0.039856,             0.46646,             0.28395,             0.28297,             0.13732,            0.065941,             0.15822,            0.031827,            0.009274,            0.009274,            0.009274
                  57,            0.069682,             0.20866,            0.039891,             0.46954,             0.28428,             0.28277,             0.13778,            0.065978,             0.15826,            0.031815,           0.0092481,           0.0092481,           0.0092481
                  58,             0.06967,             0.20825,             0.03975,              0.4561,             0.29011,             0.28421,             0.13739,             0.06596,             0.15822,            0.031811,           0.0092219,           0.0092219,           0.0092219
                  59,            0.069645,              0.2081,            0.039794,             0.43432,             0.29613,              0.2846,             0.13808,            0.065947,             0.15806,            0.031721,           0.0091952,           0.0091952,           0.0091952
                  60,            0.069672,              0.2085,            0.039878,             0.42349,             0.30295,             0.28474,             0.13864,             0.06589,             0.15811,            0.031752,           0.0091681,           0.0091681,           0.0091681
